SnapshotDate,Language,ModelKey,ModelName,ActualLabel,PredictedLabel,Count
2026-04-20 17:55:05,Python,logistic,Logistic Regression,ai,ai,5
2026-04-20 17:55:05,Python,logistic,Logistic Regression,ai,human,7
2026-04-20 17:55:05,Python,logistic,Logistic Regression,human,ai,0
2026-04-20 17:55:05,Python,logistic,Logistic Regression,human,human,14
2026-04-20 17:55:05,Python,random_forest,Random Forest,ai,ai,11
2026-04-20 17:55:05,Python,random_forest,Random Forest,ai,human,1
2026-04-20 17:55:05,Python,random_forest,Random Forest,human,ai,1
2026-04-20 17:55:05,Python,random_forest,Random Forest,human,human,13
2026-04-20 17:55:05,Python,gradient_boost,Gradient Boosting,ai,ai,12
2026-04-20 17:55:05,Python,gradient_boost,Gradient Boosting,ai,human,0
2026-04-20 17:55:05,Python,gradient_boost,Gradient Boosting,human,ai,0
2026-04-20 17:55:05,Python,gradient_boost,Gradient Boosting,human,human,14
2026-04-20 17:55:05,Python,xgboost,XGBoost,ai,ai,11
2026-04-20 17:55:05,Python,xgboost,XGBoost,ai,human,1
2026-04-20 17:55:05,Python,xgboost,XGBoost,human,ai,1
2026-04-20 17:55:05,Python,xgboost,XGBoost,human,human,13
2026-04-20 17:55:05,Java,logistic,Logistic Regression,ai,ai,3
2026-04-20 17:55:05,Java,logistic,Logistic Regression,ai,human,0
2026-04-20 17:55:05,Java,logistic,Logistic Regression,human,ai,2
2026-04-20 17:55:05,Java,logistic,Logistic Regression,human,human,3
2026-04-20 17:55:05,Java,random_forest,Random Forest,ai,ai,3
2026-04-20 17:55:05,Java,random_forest,Random Forest,ai,human,0
2026-04-20 17:55:05,Java,random_forest,Random Forest,human,ai,0
2026-04-20 17:55:05,Java,random_forest,Random Forest,human,human,5
2026-04-20 17:55:05,Java,gradient_boost,Gradient Boosting,ai,ai,3
2026-04-20 17:55:05,Java,gradient_boost,Gradient Boosting,ai,human,0
2026-04-20 17:55:05,Java,gradient_boost,Gradient Boosting,human,ai,0
2026-04-20 17:55:05,Java,gradient_boost,Gradient Boosting,human,human,5
2026-04-20 17:55:05,Java,xgboost,XGBoost,ai,ai,3
2026-04-20 17:55:05,Java,xgboost,XGBoost,ai,human,0
2026-04-20 17:55:05,Java,xgboost,XGBoost,human,ai,0
2026-04-20 17:55:05,Java,xgboost,XGBoost,human,human,5
2026-04-20 17:55:05,JavaScript,logistic,Logistic Regression,ai,ai,4
2026-04-20 17:55:05,JavaScript,logistic,Logistic Regression,ai,human,0
2026-04-20 17:55:05,JavaScript,logistic,Logistic Regression,human,ai,4
2026-04-20 17:55:05,JavaScript,logistic,Logistic Regression,human,human,1
2026-04-20 17:55:05,JavaScript,random_forest,Random Forest,ai,ai,4
2026-04-20 17:55:05,JavaScript,random_forest,Random Forest,ai,human,0
2026-04-20 17:55:05,JavaScript,random_forest,Random Forest,human,ai,1
2026-04-20 17:55:05,JavaScript,random_forest,Random Forest,human,human,4
2026-04-20 17:55:05,JavaScript,gradient_boost,Gradient Boosting,ai,ai,4
2026-04-20 17:55:05,JavaScript,gradient_boost,Gradient Boosting,ai,human,0
2026-04-20 17:55:05,JavaScript,gradient_boost,Gradient Boosting,human,ai,1
2026-04-20 17:55:05,JavaScript,gradient_boost,Gradient Boosting,human,human,4
2026-04-20 17:55:05,JavaScript,xgboost,XGBoost,ai,ai,3
2026-04-20 17:55:05,JavaScript,xgboost,XGBoost,ai,human,1
2026-04-20 17:55:05,JavaScript,xgboost,XGBoost,human,ai,1
2026-04-20 17:55:05,JavaScript,xgboost,XGBoost,human,human,4
