Language,Model,Accuracy,AI_Precision,AI_Recall,AI_F1,Human_Precision,Human_Recall,Human_F1
python,logistic,0.6153846153846154,1.0,0.16666666666666666,0.2857142857142857,0.5833333333333334,1.0,0.7368421052631579
python,random_forest,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571
python,gradient_boost,0.8076923076923077,0.8181818181818182,0.75,0.782608695652174,0.8,0.8571428571428571,0.8275862068965517
python,xgboost,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8125,0.9285714285714286,0.8666666666666667
java,logistic,0.75,0.6,1.0,0.75,1.0,0.6,0.75
java,random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
java,gradient_boost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
java,xgboost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
js,logistic,0.5555555555555556,0.5,1.0,0.6666666666666666,1.0,0.2,0.3333333333333333
js,random_forest,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.8,0.8888888888888888
js,gradient_boost,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.8,0.8888888888888888
js,xgboost,0.7777777777777778,0.75,0.75,0.75,0.8,0.8,0.8
